nome,beta_intercepto,beta_area_util,beta_quartos,beta_banheiros,beta_garagens,beta_apartamento,beta_cobertura,beta_Dist_Centro,beta_Dist_UFSM
JUSCELINO KUBISTCHEK,16.513302594268442,0.0023689639434562727,-0.01194104611652292,0.2224506830221753,0.10740690580713987,-0.326911197682098,0.558623927290214,0.0003951501558044866,-0.0004622845240571201
KM TRÊS,14.362058061384763,0.002915804643932856,0.033670281791914725,0.20083575951604585,0.2124423033040226,0.4010346162093137,0.32129675792537915,-0.00023017162174418737,-0.00026768112400040015
LORENZI,13.965271091177923,0.00233858318693635,0.014615423242213817,0.2455847231746588,0.08541396921560963,-0.164797603807168,0.031038151014356988,-0.00018271256952338892,-0.00014060768656452686
MENINO JESUS,17.99223517888198,0.0027409838871377177,0.17849407209561574,-0.01112284514248449,0.2796694364921768,0.3330835962802643,0.09080723587743199,-0.00015470873739609038,-0.0006633914212513119
NOAL,13.282210058381194,0.003070707483320577,0.020759249229530933,0.20346323928203094,0.12681708051138027,0.08519479695879237,0.14773908358245155,-9.857000961955636e-05,-0.00010385741057775747
NONOAI,12.148115289508933,0.0028393142324602077,0.17061048380182925,0.1426306523838293,0.20611314013995347,0.4846558659986407,0.46235690768547455,-0.0008038624931219616,3.295894043720522e-05
NOSSA SENHORA DAS DORES,13.318542885230778,0.0026200865698940536,0.13249183532618714,0.09840099914801609,0.2565156203151781,0.3863539642921228,0.31542478755312814,-0.00010904281110021164,-0.00016270871178934645
NOSSA SENHORA DE FATIMA,12.034289342510466,0.002590041599202336,0.13129629582530994,0.15630362070954298,0.18460677805373135,0.18797685829930869,0.08926992203157226,3.861387692459491e-05,-3.3568628594350746e-05
NOSSA SENHORA DE LOURDES,9.722079672486407,0.002691782415970504,0.13525465354615837,0.11024936223893185,0.2202264297963246,0.3673356755958699,0.10734611371567704,-0.00010666982274153957,0.00025839309135064004
NOSSA SENHORA DO PERPÉTUO SOCORRO,12.455554737368313,0.0021952478782192937,0.0885451659019916,0.1280368865743937,0.17203893940878612,-0.0002947955809012535,0.039065129191540066,-0.00012174660421036823,-3.094293436669577e-05
NOSSA SENHORA DO ROSÁRIO,-18.52485892138623,0.00246489345132119,0.07030976144176673,0.2554592551589972,0.02116778683537629,0.17669300249911568,0.10452964644098886,-0.004568552435908788,0.0033670010738120638
NOSSA SENHORA MEDIANEIRA,12.028328574621856,0.003517144203774442,0.11906208818448995,0.13294438569553993,0.12147516782981253,0.3608624014880216,0.271250695458061,5.592156197532313e-05,-2.825932753822361e-05
NOVA SANTA MARTA,14.411098092552448,0.001700651148075818,-0.017044413025884397,0.26628526139576775,0.12822663534743456,-0.17662775269519676,0.1902352412174602,0.0001540014669243265,-0.00022584019493640585
PASSO D'AREIA,14.52915121887569,0.002415589700563168,0.01807300967181376,0.2335070644237948,0.11202926726027071,-0.07275535274269444,0.1332308498440561,2.3053762113041208e-05,-0.0002243882339415469
PATRONATO,14.069982427393436,0.0028844589717255337,-0.09011812902996216,0.23635791551252727,0.029706653486928407,0.08185852129415108,0.5790908776285815,0.00015472864889331617,-0.0001867396758176233
PINHEIRO MACHADO,16.571305733096633,0.0012012727435313972,-0.0015276108285932181,0.22860495889098353,0.14739903924287245,-0.308519712254005,0.6736250636626957,0.00034445388435786704,-0.0004383500036903378
PRESIDENTE JOÃO GOULART,16.275581592847928,0.002787322691590233,0.05944469364563426,0.1187955831911382,0.2173988122132881,0.3818565478370023,0.2861375089137519,-0.0004948930359575263,-0.00044479591589570785
PÉ-DE-PLÁTANO,12.311916700817351,0.0025199630496425215,-0.0036773413351079056,0.2509418404548434,0.05406490422862853,-0.14618796825703728,0.02007436694551853,6.099412920635966e-06,1.2275018409523802e-05
RENASCENÇA,13.264764174893783,0.0029052393755569584,0.04459054721486405,0.20168452488510027,0.12095538155425047,-0.18187588395242493,0.8617450799689532,0.00014674613085466966,-0.00015084111597063137
SALGADO FILHO,13.156940641802244,0.002331500555519774,0.05555413690673109,0.1964462544179382,0.13353637162922602,0.10034476124988095,0.16441311664728453,-7.159499155610905e-06,-0.0001132945228604574
SÃO JOSÉ,13.193102905219662,0.002791414189856289,-0.058776762301024285,0.2966922315486045,0.07335460329724651,-0.0851741403535497,0.13690430066747802,-0.00010074810107307452,-8.896795368949417e-05
SÃO JOÃO,13.426004223864945,0.002993729005922569,0.03395143334487632,0.19429134709869245,0.14326241420250843,-0.1761449114560545,0.9542144403908326,0.00021627365186059253,-0.00018453471839206036
TANCREDO NEVES,12.804411839979176,0.000805523492472916,0.03618154981552905,0.24469828531879648,0.1463404940453098,-0.2084055728865979,0.5712510276578171,-8.381435563727064e-05,-1.9650789521260828e-05
TOMAZETTI,14.691300739371842,0.0026540628251613195,0.0021518293201002203,0.19087326486005113,0.10428221270561433,-0.18124225665733978,0.18947103887816624,-0.0001207455574003593,-0.00023337726420096308
UGLIONE,17.576793187814552,0.001681888833291902,0.17231219567047665,0.11875677100990459,0.14546345869841976,0.0989577182576069,0.2657725982814869,-6.131511530941553e-05,-0.0005360515899107343
URLÂNDIA,12.656348027221432,0.002255983949982852,0.04734909616870349,0.25251748954032793,0.08172570247798847,-0.012567873146230332,0.08485660851230586,-0.00018118239763068578,-2.2103433606024372e-05
