preco_imovel,condominio,iptu,rua,numero,bairro,cidade,area_util,quartos,banheiros,garagens,endereco_completo,address_found,latitude_calculada,longitude_calculada,Dist_Centro,Dist_UFSM,Dist_Royal,Dist_Pnova,Dist_HUSM,Dist_Caridade,Dist_Parque_Itaimbe,Dist_Praça_Roque,Dist_Praça_Saldanha,Dist_Club_Dores,Dist_Aeroporto,escola_fundamental,escola_infantil,geometry,apartamento,casa,cobertura,ln_preco,LISA_Cluster,p_valor_lisa
628000,R$ 500,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.350295445450335,Não Significativo,0.24
630000,R$ 500,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.353475098367715,Não Significativo,0.24
630000,R$ 400,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,88.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.353475098367715,Não Significativo,0.24
636000,R$ 400,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,88.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.36295384232226,Não Significativo,0.239
200000,R$ 400,,Rua Marechal Floriano Peixoto,1139.0,Centro,Santa Maria,70.0,2,2,0,"Rua Marechal Floriano Peixoto, 1139 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1139 - Centro, Santa Maria - RS, 97015-371, Brazil",-29.6873875,-53.8091905,0.0024381773919334897,0.00010135763288255781,0.0007063124533658217,0.00033930596333362715,0.00010459980448300345,0.0017320323818091343,0.0015033346342818049,0.001954351738814901,0.003760038562983576,0.0008296578931068825,9.282332743531537e-05,1,0,POINT (-53.8091905 -29.6873875),1,0,0,12.206072645530174,Não Significativo,0.214
300000,R$ 500,,Rua Marechal Floriano Peixoto,1279.0,Centro,Santa Maria,71.0,2,2,1,"Rua Marechal Floriano Peixoto, 1279 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1279 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6887943,-53.8089896,0.002602454241320786,0.00010214280204155437,0.0007291286358529465,0.0003512982429864951,0.00010533046354242384,0.0022820002564802443,0.0013701504677748773,0.0025971396134665935,0.0027339684027016947,0.0008412493811012859,9.32707912770577e-05,1,0,POINT (-53.8089896 -29.6887943),1,0,0,12.611537753638338,Low-Low (Baixo-Baixo),0.001
290000,,,Rua Marechal Floriano Peixoto,1370.0,Centro,Santa Maria,75.0,2,1,1,"Rua Marechal Floriano Peixoto, 1370 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1370 - Centro, Santa Maria - RS, 97015-372, Brazil",-29.6895584,-53.80804209999999,0.0031013675692160418,0.00010336901449325294,0.0007852738729785415,0.00035054246933178244,0.00010659591761438478,0.003173805493972391,0.001391674256134955,0.0038403143493077833,0.002464275345298819,0.0009023250271238162,9.420903172663323e-05,1,0,POINT (-53.80804209999999 -29.6895584),1,0,0,12.577636201962656,Não Significativo,0.158
600000,R$ 500,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,78.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.304684934198283,Não Significativo,0.242
235000,R$ 330,,Rua Marechal Floriano Peixoto,529.0,Centro,Santa Maria,79.0,2,2,1,"Rua Marechal Floriano Peixoto, 529 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 529 - Centro, Santa Maria - RS, 97010-310, Brazil",-29.6822505,-53.8106113,0.001170187511400429,9.785522045737058e-05,0.0005704535346059227,0.0003017034425211611,0.00010119425826938788,0.0008696643882555988,0.0012628873887478849,0.0009318306847780814,0.0018130794084140556,0.0006754635406297786,9.055424451818848e-05,1,0,POINT (-53.8106113 -29.6822505),1,0,0,12.367340793126296,Low-Low (Baixo-Baixo),0.001
265000,R$ 280,,Rua Marechal Floriano Peixoto,1367.0,Centro,Santa Maria,81.0,2,2,1,"Rua Marechal Floriano Peixoto, 1367 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1367 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6897243,-53.8088776,0.002479008069733948,0.00010263747534658202,0.0007388257524779318,0.00035951768269018613,0.0001057843322260745,0.0028080862670114017,0.0012682147719343135,0.0031392739888541897,0.0022173993657689946,0.0008395930223093507,9.354177378905336e-05,1,0,POINT (-53.8088776 -29.6897243),1,0,0,12.487485104968359,Low-Low (Baixo-Baixo),0.006
